,title,company,salary,link,description,location,Minimum Experience Required,Education Required
0,,Procom,None,https://ca.indeed.com/viewjob/cmp/Procom,[],"Calgary, AB",99,none
1,Senior Business Analyst,Affinity Staffing,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0D02uQImAu9w-cOcpVzXMSPKLiiLlb0VW9-sFhpR_bbrbX9f7XyLyoNuic6UCXuqD2k5jtxiLOQZP6NkX5fDXZSY_7MgGdgQj8So7U6MAY0LZI-FN7XxER1GVm0PsfieAgHiv4kHOwvsPaKbx_tqeeKQl-Q3NLYG2TsJocJQtBpDzDyOgk8vFmRLf2WByGisxqF47ZVgDqDK_mNdD_S6R3_sNgR1rG2VPy3KAmOA6gRLTe7P6iIq9mqDllwIT0vuLm756gkc_NMCkyYvyCtBLHuULQhaQSJBPFUy9Tmr94UmzoM8LvodhU4iA10FNJza28w1VL5IkLmiMt5jGFgQ0aqXMoUR6-FcsI2dD6hVxeYwkl5j04A-3mYB7zZ3stf3ZHoppQTSR_s__qg3se8Lc9apHmDPxjFy4rx9S8NBq25VaBW_oZY1QRbV0VmI_Gq8qQndTf4GL4xz8imFrgIfLeoumbXrQgkUHDzoDhIjsEC5_nfHd8hPctS83S9PXQpOoaUC12PjwAGVm_hasin2X1oY5ZnaOAR3GeOoApMN10O9MIJ3U-HZ0HKgPA1S8lN8DY=&p=1&fvj=0&vjs=3,[],"Vancouver, BC",99,none
2,Senior Business Analyst - 298847,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-nLMwXF3u7nt_W1_ybLH0QPQDj_aN5Bg6WgbRVRy4bTwQBs-VJeADazslX19uxl0PnMxkiSXHmnS73C8HvnMA83cWo-nHrza46Tikgs7uSinlwHDGAc6X0xfQKPPE3C17zsMYygbXS1_RkVChA0mJJP6LsCfncb24RU6bODZHVaUtAOEDioswWK33oywNaPA37Un4ZKrYfoWvpA72lTrOGxoaeUu0hymrVpy5niYaYETomXGpGoUHLtOMoVe-dW0JXrCPEEr6pb69WqAAYGbEHhN3OQUQaRTBJECB-K_Y2mM_5D86F6yFQi_41NgLMg2j0RassGyWkXHXXOKu2SKdu9YZFCdyxGK-gpvlFi-OwtRGkNJOchM2TSgQQPPKcvA9pI7Dk90JP_zPOxlCvwDyLJ-L-dkHZ7z-FaBNYSj37T7bNU4hCwoiEslH5LtOgeVUsZuYWxKS85-ahxUYqAKYO720VyST7kqk-TyXORBZZDO4JFo1Q7ePGYE0QpgCQ3fP063W6JVYN9-vsIpsxqMNNYv0WeNgsBJudY6QxKThQfJRmgFQDyBdklLvpCAfbLCrQ==&p=2&fvj=0&vjs=3,[],"Toronto, ON",99,none
3,Lead Business Analyst - 299191,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-sVgEAMl2VRgb3OxKP2a3canIHIUEqjD9jKasGdNqc72kGBEFGyLB1dT8zALxaL8XbPN4zyqBmeXU--k_XhYsL-khgiomiwP_x1V559ijthyHYOBGkYMRfYCDuXj-5SmN6nQyxwuhRXLy-H1zdvHKQdvlnkRZiUTXrIHYM1fIuWG__wy1rU7JxX_BQFZg6NVFlCzBpWxlOx-682vPdo8LorM6NZNu4znDM-jvwN9ZdkT35VRv4plw-0lxx_4A5KxTwjVqjSIab6pcqgGH4Z3AATMO66n7wKxmDtyRsr47BNZpP4a2vOflYH1L7ofMRue0NGH8KlTH60QjLhMr6s8i8GNLyExuK9S95wqYZzEQ9fqSKTlRcRwdc-dU_uDx0j9i0t7DUILLnXI9gJcWwMcGMMZ78fmrn4AVF9SC1-fGhdFgXLezt_616SH2RADCSHIq_GNt8pdbOetcMCgsV4fMJtWDecSgBqguyowH8qqznPqhD1RJrYVBOTSeo1Xy423-NrILCLMFDuHsKdomJT02oMh26K5YG3hx52SF_RGu6y3AHWsWFoptIA=&p=3&fvj=0&vjs=3,[],"Burnaby, BC",99,none
4,Business Analyst - Emergency Health Services,Affinity Staffing,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0D02uQImAu9w-cOcpVzXMSPKLiiLlb0VW9-sFhpR_bbrbX9f7XyLyoNuic6UCXuqD1j9NTE4mmUESdw86-EqrGjVI8BNxtbZ8n8lqasYYyqks7rKLmMbpBINst2nKpSHfR9Yy-PBA-CtgnY9PhSMtFA_IKEZQuR1GTV9Oph-HLxbbKzRh0XXVRrXmUQkWXMd9g0rYifcLxeesULGdFCJNL4DnPVgIo8O0Si83eS1iTUih6VRpRMTG4kH8EqWm0P7kPOYvmdyJsyM9aT0krdETIHL_sjaqtbl2qQC7YhMomj2zM-oYTKa1sqzwoa9MwvjxcrBS7Df6owNaNsq6EfB9EbJQ1RYFl_LWYR13h4P9451RWJ7ulRYRW503LtQRLzE7Y-4EYBbaWC2-worb31VmFmv7cRbdbT5LAeoCJbzr5QEbVg97jJouzFnta_Z0jIu1gbvOyoWq-qczC3wtAOFHKv11spCGLBGPmH3HVM416wQNu9srxHKvWnmxfwcc4Kywn96wIVpTsQfAmSSkfRttsOMVIcMVaAc1D-HyljZRP1ht7gF3cPo8qh&p=4&fvj=0&vjs=3,[],"Toronto, ON",99,none
5,Technical Analyst - 298925,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-nLMwXF3u7nt_W1_ybLH0QNwsjcQQLLob_pkc9IiniKBY9w_ik1V6FmvU1j4X8mCUcwk0NUzzpT87Ptbv4dKiCC5xrChV6lGBz65ouKPSc-F2qQd-qU0lb3snFwdLdAR0oy07d_MbphY2imO0ZgzMDgmAw4oaiFAwYeI4w1NtejNT7zxAfgb-LBqmuZmRNT8mCwwm5tJF43ifsXy0Zbv5PeTIkm6YOpM5nQcVT10Fu8itumxrlD1nVZGD6FxYFARvKakdKsbdyEfeduf1Rt8Ujv3kiCIgcJ0A_J1IBwLMnj-oTZMQrd4AY5N3Fmaypnhx5pgJoyHvTF-G5tnA2qznNsy2-oZ3_wnORaESAeVtA117vOmTeLs_yEAOKJSL8Id31hGS66VjkVyKBQoZV-DC0K_uEKaWVqYCJJ3iAABllEMzHbJbvJmRuLvzNmPUQb4S7J69rp3MJpB7Q5i2BZHR2pkQFSOSgr3XMLD4b5z6V3YA9NOtuyIPA6kCCd2reui9A92bJMskAMHMNjAen05S0-R-tcsolZ5Kf5fT7jrKgeecBnU9bOfioE=&p=5&fvj=0&vjs=3,[],"Toronto, ON",99,none
6,Business Intelligence Developer - Microstrategy - 299272,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-gEaU0IKNimeyeYMQ-T30yV9IdU6iEojOtHEz3eMKFS9uGNBbEKxS5RvO-1jBbLqWA3hv3yleNp_ddr_yUIc26vnlJY41WsDhfpBga-mr3aS7UJfsu-57zH9Ht7hMeqbfH4KAgykB0eBqZdcqcK3USw1-ptfUORbVcoIbZ1fqDXpyS2Z9BmHdgSz7hadZJVWb__Dav69vAeezohKR2RFTuW_eCaV0Zub6O7vLDbOCqTEavKnV7-ej-fAi8GSKV-9yOTRhukedT2KfKcgVQ5fJ5wY_5AxanBhQT2_79F18LWKDs45AemAVCFGSS-5cstsbTr0gpxZ-lMtVNIN0pGW_IbCxPGrwxoGPnZsEe6-dK4TSYNTk49Kl43LA2j5_hwlaov71ZcaRHE0K4CEJauWrEPMU_3-XAoprBPaeyq6X7aWyDAWCfVqR75uKpAqL6pBxDTEDwSUrjly3amqTRlYuK3ZAT5lPJhXIHDMnjS3zXsFWnWHzdVh5-dK1OYq6HJ99yMg0b3AJigKmDT0lD2zbu77uYDijGr7xVWfQLXVr433HuL0WWtwj422yF0KelwGbg==&p=6&fvj=0&vjs=3,[],"Toronto, ON",99,none
7,"ETL (Informatica) Developer - Ministry of Education (BI, Ora...",Aventura Consultants,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0C-t2Gj-FE8SjWYhJ3TO0L-rHJEo5LJajKjwWt-is5QjrcIZ96GXYBdyik6LGqa7QQrVv-Loa2O2-Xjgf4U08hmFY2-rO5yJAPZF6yaLIa4OwIEICit-9mvKsS6RxOAk5U01LzUCaZDjZ5qfN9fOE3lBQd2jtcbzY1DztHuwfD9ADevH-m_ZrwjIVnJFSDj7wbayYAmDfCsnhCRAkCNf2mjQdXpWYhIJWrpS8BdD9QVa_ybci5sY4rTUn3XQ408xuAn1Eu4TpcuI-MJuJon8szvgfSvB63joF4B-Zq7zkCndb-yg0tR2s72gkO3LSfW0Sw58i3khJh3xfe5Uk2De7KwlVOHR6wO-zDjM4iaJk4xwbQcJm8wTJrd40vEvjfR9xu1kTnBFAmbQ_liAAaIKrKBxtlJCsLdFqzTZz0FahpEdn4oTO3lolBeiSE8fdcVUA3VB9HvZ9s8ow==&p=7&fvj=1&vjs=3,[],"Toronto, ON",99,none
8,Business Analyst - Digital Health,Affinity Staffing,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0D02uQImAu9w-cOcpVzXMSPKLiiLlb0VW9-sFhpR_bbrbX9f7XyLyoNuic6UCXuqD0bJFzpES1m6P51qW1KkCEH_0nuzTFLsL9sFKwlRQ4lcJE7ikEs0jDW-iJIv3h7k8BmAY3dMs5aw18U9lFCxJrKKUbeOBJQiL9L8L6JZQf7rnP48e1chhoseM-6IebC-EcnY9IUk_zTViyMg-Kaap_BmHoi5RawM0ixBnfY6Oeg9ABgMw_5YSGRMxtMyiZhwgI-GeAtX1FBaITr1ddPcySruRdil-kesHVjAtr0VGjaG3dyBOUB2hfnFhRxFjTdnm8qLy7S3bHaWqV9jeNPVPL_AKQYfkhOiwrXByBbAOy-8el8pPIiNdM6gstC167qB5VvtvO2dn2yCNzb4RwLCWKkTy3-fG0F8wTDggMdGHsmoYipjCNs4z75M1hdN8KwZ8zk3rlwYmIGpWK9NmSbubsMr7oS0JS-91QRwcDTK9ap2WJZSGSe4x8eRmASJET_rWnjP2TH-PlzyjtCnCYvlWPhHLtYcek5FPLybhbP4k4Hfw==&p=8&fvj=0&vjs=3,[],"Toronto, ON",99,none
9,Business Analyst - Supply Chain - 296882,Procom,None,https://ca.indeed.com/viewjob/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-nLMwXF3u7nt_W1_ybLH0QN26WlFckpEj28uAWjDmhNVLcxj2cQOyLbX33IWHX-cOPyzohO_M34KpAKGPd0mkfY5rrZbOqGnHYmt50MCpCyRcYjzzSbBhEuUhScFaqlJ18xB7IiJoFRtkYXQ7GGyx1F9EnCoNbcaWEQbbMjkNgb3MAqjC_MXW3V8q-H5xPCOw7qCJ2kXA-0eMwi7mXMmzZcT5pqEIQZ6fS1SIFsBj1O9L5Fn6PeBAchJz9b9wacfUlFlEpLwJcQ7hPL7elrJ77E-o62zcQwnK1uWji_5-yqTEXR5pTAoqfEHcZrXQIYt004PaVZjN5ixzzEAecPtSVOBrAsHZCIsXwea4O-nRXr-qnChFdrLzeg5_WRkCRDdkWuCzjqZgpTPKX0UFGDDsqDg1Xq9iOMXxMOM0tqki-RShlXMYO-8VflM7u0a48JFnReQZ1S5JZfyWXHWDZcRoIgD9DJ1booGSz-GQwD7bzMikF2P_3Q7DOqjGhVKJHTQHZ9Fn06Hkd3hSYu9IiIRVmCpBu-8fIcc-QClQeglhi84hUs6EkFr3hY=&p=9&fvj=0&vjs=3,[],"Toronto, ON",99,none
